image_name,Imager_id,generation,sex,selection,replicate,sampling,trait,individual_id,length,repeat_measure
JK_350_F_C_1_R_L-F_18,JK,350,F,C,1,R,L-F,18,0.557,1
JK_350_F_C_1_R_L-Ti_18,JK,350,F,C,1,R,L-Ti,18,0.443,1
JK_350_F_C_1_R_L-Ta_18,JK,350,F,C,1,R,L-Ta,18,0.195,1
JK_350_F_C_1_R_L-F_19,JK,350,F,C,1,R,L-F,19,0.561,1
JK_350_F_C_1_R_L-Ti_19,JK,350,F,C,1,R,L-Ti,19,0.494,1
JK_350_F_C_1_R_L-Ta_19,JK,350,F,C,1,R,L-Ta,19,0.204,1
JK_350_F_C_1_R_L-F_20,JK,350,F,C,1,R,L-F,20,0.455,1
JK_350_F_C_1_R_L-Ti_20,JK,350,F,C,1,R,L-Ti,20,0.409,1
JK_350_F_C_1_R_L-Ta_20,JK,350,F,C,1,R,L-Ta,20,0.177,1
JK_350_F_C_1_R_L-F_21,JK,350,F,C,1,R,L-F,21,0.574,1
JK_350_F_C_1_R_L-Ti_21,JK,350,F,C,1,R,L-Ti,21,0.476,1
JK_350_F_C_1_R_L-Ta_21,JK,350,F,C,1,R,L-Ta,21,0.2,1
JK_350_F_C_1_R_L-F_22,JK,350,F,C,1,R,L-F,22,0.601,1
JK_350_F_C_1_R_L-Ti_22,JK,350,F,C,1,R,L-Ti,22,0.478,1
JK_350_F_C_1_R_L-Ta_22,JK,350,F,C,1,R,L-Ta,22,0.204,1
JK_350_F_C_1_R_L-F_23,JK,350,F,C,1,R,L-F,23,0.506,1
JK_350_F_C_1_R_L-Ti_23,JK,350,F,C,1,R,L-Ti,23,0.417,1
JK_350_F_C_1_R_L-Ta_23,JK,350,F,C,1,R,L-Ta,23,0.178,1
JK_350_F_C_1_R_L-F_24,JK,350,F,C,1,R,L-F,24,0.538,1
JK_350_F_C_1_R_L-Ti_24,JK,350,F,C,1,R,L-Ti,24,0.462,1
JK_350_F_C_1_R_L-Ta_24,JK,350,F,C,1,R,L-Ta,24,0.227,1
JK_350_F_C_1_R_L-F_25,JK,350,F,C,1,R,L-F,25,0.516,1
JK_350_F_C_1_R_L-Ti_25,JK,350,F,C,1,R,L-Ti,25,0.433,1
JK_350_F_C_1_R_L-Ta_25,JK,350,F,C,1,R,L-Ta,25,0.185,1
JK_350_F_C_1_R_L-F_26,JK,350,F,C,1,R,L-F,26,0.481,1
JK_350_F_C_1_R_L-Ti_26,JK,350,F,C,1,R,L-Ti,26,0.375,1
JK_350_F_C_1_R_L-Ta_26,JK,350,F,C,1,R,L-Ta,26,0.155,1
JK_350_F_C_1_R_L-F_27,JK,350,F,C,1,R,L-F,27,0.48,1
JK_350_F_C_1_R_L-Ti_27,JK,350,F,C,1,R,L-Ti,27,0.406,1
JK_350_F_C_1_R_L-Ta_27,JK,350,F,C,1,R,L-Ta,27,0.178,1
JK_350_F_C_1_R_L-F_28,JK,350,F,C,1,R,L-F,28,0.484,1
JK_350_F_C_1_R_L-Ti_28,JK,350,F,C,1,R,L-Ti,28,0.425,1
JK_350_F_C_1_R_L-Ta_28,JK,350,F,C,1,R,L-Ta,28,0.188,1
JK_350_F_C_1_R_L-F_29,JK,350,F,C,1,R,L-F,29,0.5,1
JK_350_F_C_1_R_L-Ti_29,JK,350,F,C,1,R,L-Ti,29,0.396,1
JK_350_F_C_1_R_L-Ta_29,JK,350,F,C,1,R,L-Ta,29,0.173,1
JK_350_F_C_1_R_L-F_30,JK,350,F,C,1,R,L-F,30,0.493,1
JK_350_F_C_1_R_L-Ti_30,JK,350,F,C,1,R,L-Ti,30,0.369,1
JK_350_F_C_1_R_L-Ta_30,JK,350,F,C,1,R,L-Ta,30,0.164,1
JK_350_F_C_1_R_L-F_31,JK,350,F,C,1,R,L-F,31,0.484,1
JK_350_F_C_1_R_L-Ti_31,JK,350,F,C,1,R,L-Ti,31,0.406,1
JK_350_F_C_1_R_L-Ta_31,JK,350,F,C,1,R,L-Ta,31,0.166,1
JK_350_F_C_1_R_L-F_32,JK,350,F,C,1,R,L-F,32,0.471,1
JK_350_F_C_1_R_L-Ti_32,JK,350,F,C,1,R,L-Ti,32,0.42,1
JK_350_F_C_1_R_L-Ta_32,JK,350,F,C,1,R,L-Ta,32,0.16,1
JK_350_F_C_1_R_L-F_33,JK,350,F,C,1,R,L-F,33,0.516,1
JK_350_F_C_1_R_L-Ti_33,JK,350,F,C,1,R,L-Ti,33,0.444,1
JK_350_F_C_1_R_L-Ta_33,JK,350,F,C,1,R,L-Ta,33,0.179,1
JK_350_F_C_1_R_T_1,JK,350,F,C,1,R,T,1,0.934,1
JK_350_F_C_1_R_T_2,JK,350,F,C,1,R,T,2,1.057,1
JK_350_F_C_1_R_T_3,JK,350,F,C,1,R,T,3,0.908,1
JK_350_F_C_1_R_T_4,JK,350,F,C,1,R,T,4,1.016,1
JK_350_F_C_1_R_T_5,JK,350,F,C,1,R,T,5,0.854,1
JK_350_F_C_1_R_T_6,JK,350,F,C,1,R,T,6,0.973,1
JK_350_F_C_1_R_T_7,JK,350,F,C,1,R,T,7,0.974,1
JK_350_F_C_1_R_T_8,JK,350,F,C,1,R,T,8,1.02,1
JK_350_F_C_1_R_T_9,JK,350,F,C,1,R,T,9,0.95,1
JK_350_F_C_1_R_T_10,JK,350,F,C,1,R,T,10,0.978,1
JK_350_F_C_1_R_T_11,JK,350,F,C,1,R,T,11,0.951,1
JK_350_F_C_1_R_T_12,JK,350,F,C,1,R,T,12,0.941,1
JK_350_F_C_1_R_T_13,JK,350,F,C,1,R,T,13,1.042,1
JK_350_F_C_1_R_T_14,JK,350,F,C,1,R,T,14,0.976,1
JK_350_F_C_1_R_T_15,JK,350,F,C,1,R,T,15,1.078,1
JK_350_F_C_1_R_T_16,JK,350,F,C,1,R,T,16,0.938,1
JK_350_F_C_1_R_T_17,JK,350,F,C,1,R,T,17,1.049,1
JK_350_F_C_1_R_T_18,JK,350,F,C,1,R,T,18,0.969,1
JK_350_F_C_1_R_T_19,JK,350,F,C,1,R,T,19,0.969,1
JK_350_F_C_1_R_T_20,JK,350,F,C,1,R,T,20,0.875,1
JK_350_F_C_1_R_T_21,JK,350,F,C,1,R,T,21,1.064,1
JK_350_F_C_1_R_T_22,JK,350,F,C,1,R,T,22,1.084,1
JK_350_F_C_1_R_T_23,JK,350,F,C,1,R,T,23,0.916,1
JK_350_F_C_1_R_T_24,JK,350,F,C,1,R,T,24,0.985,1
JK_350_F_C_1_R_T_25,JK,350,F,C,1,R,T,25,1.009,1
JK_350_F_C_1_R_T_26,JK,350,F,C,1,R,T,26,0.865,1
JK_350_F_C_1_R_T_27,JK,350,F,C,1,R,T,27,0.898,1
JK_350_F_C_1_R_T_28,JK,350,F,C,1,R,T,28,0.935,1
JK_350_F_C_1_R_T_29,JK,350,F,C,1,R,T,29,0.905,1
JK_350_F_C_1_R_T_30,JK,350,F,C,1,R,T,30,0.852,1
JK_350_F_C_1_R_T_31,JK,350,F,C,1,R,T,31,0.834,1
JK_350_F_C_1_R_T_32,JK,350,F,C,1,R,T,32,0.886,1
JK_350_F_C_1_R_T_33,JK,350,F,C,1,R,T,33,0.921,1
JK_350_F_C_2_R_L-F_1,JK,350,F,C,2,R,L-F,1,0.497,1
JK_350_F_C_2_R_L-Ti_1,JK,350,F,C,2,R,L-Ti,1,0.44,1
JK_350_F_C_2_R_L-Ta_1,JK,350,F,C,2,R,L-Ta,1,0.154,1
JK_350_F_C_2_R_L-F_2,JK,350,F,C,2,R,L-F,2,0.542,1
JK_350_F_C_2_R_L-Ti_2,JK,350,F,C,2,R,L-Ti,2,0.463,1
JK_350_F_C_2_R_L-Ta_2,JK,350,F,C,2,R,L-Ta,2,0.176,1
JK_350_F_C_2_R_L-F_3,JK,350,F,C,2,R,L-F,3,0.523,1
JK_350_F_C_2_R_L-Ti_3,JK,350,F,C,2,R,L-Ti,3,0.425,1
JK_350_F_C_2_R_L-Ta_3,JK,350,F,C,2,R,L-Ta,3,0.17,1
JK_350_F_C_2_R_L-F_4,JK,350,F,C,2,R,L-F,4,0.583,1
JK_350_F_C_2_R_L-Ti_4,JK,350,F,C,2,R,L-Ti,4,0.46,1
JK_350_F_C_2_R_L-Ta_4,JK,350,F,C,2,R,L-Ta,4,0.197,1
JK_350_F_C_2_R_L-F_5,JK,350,F,C,2,R,L-F,5,0.525,1
JK_350_F_C_2_R_L-Ti_5,JK,350,F,C,2,R,L-Ti,5,0.416,1
JK_350_F_C_2_R_L-Ta_5,JK,350,F,C,2,R,L-Ta,5,0.192,1
JK_350_F_C_2_R_L-F_6,JK,350,F,C,2,R,L-F,6,0.476,1
JK_350_F_C_2_R_L-Ti_6,JK,350,F,C,2,R,L-Ti,6,0.419,1
JK_350_F_C_2_R_L-Ta_6,JK,350,F,C,2,R,L-Ta,6,0.181,1
JK_350_F_C_2_R_L-F_7,JK,350,F,C,2,R,L-F,7,0.505,1
JK_350_F_C_2_R_L-Ti_7,JK,350,F,C,2,R,L-Ti,7,0.414,1
JK_350_F_C_2_R_L-Ta_7,JK,350,F,C,2,R,L-Ta,7,0.15,1
JK_350_F_C_2_R_L-F_8,JK,350,F,C,2,R,L-F,8,0.58,1
JK_350_F_C_2_R_L-Ti_8,JK,350,F,C,2,R,L-Ti,8,0.479,1
JK_350_F_C_2_R_L-Ta_8,JK,350,F,C,2,R,L-Ta,8,0.181,1
JK_350_F_C_2_R_L-F_9,JK,350,F,C,2,R,L-F,9,0.481,1
JK_350_F_C_2_R_L-Ti_9,JK,350,F,C,2,R,L-Ti,9,0.419,1
JK_350_F_C_2_R_L-Ta_9,JK,350,F,C,2,R,L-Ta,9,0.166,1
JK_350_F_C_2_R_L-F_10,JK,350,F,C,2,R,L-F,10,0.555,1
JK_350_F_C_2_R_L-Ti_10,JK,350,F,C,2,R,L-Ti,10,0.437,1
JK_350_F_C_2_R_L-Ta_10,JK,350,F,C,2,R,L-Ta,10,0.186,1
JK_350_F_C_2_R_L-F_11,JK,350,F,C,2,R,L-F,11,0.554,1
JK_350_F_C_2_R_L-Ti_11,JK,350,F,C,2,R,L-Ti,11,0.459,1
JK_350_F_C_2_R_L-Ta_11,JK,350,F,C,2,R,L-Ta,11,0.184,1
JK_350_F_C_2_R_L-F_12,JK,350,F,C,2,R,L-F,12,0.486,1
JK_350_F_C_2_R_L-Ti_12,JK,350,F,C,2,R,L-Ti,12,0.454,1
JK_350_F_C_2_R_L-Ta_12,JK,350,F,C,2,R,L-Ta,12,0.178,1
JK_350_F_C_2_R_L-F_13,JK,350,F,C,2,R,L-F,13,0.606,1
JK_350_F_C_2_R_L-Ti_13,JK,350,F,C,2,R,L-Ti,13,0.446,1
JK_350_F_C_2_R_L-Ta_13,JK,350,F,C,2,R,L-Ta,13,0.185,1
JK_350_F_C_2_R_L-F_14,JK,350,F,C,2,R,L-F,14,0.53,1
JK_350_F_C_2_R_L-Ti_14,JK,350,F,C,2,R,L-Ti,14,0.457,1
JK_350_F_C_2_R_L-Ta_14,JK,350,F,C,2,R,L-Ta,14,0.174,1
JK_350_F_C_2_R_L-F_15,JK,350,F,C,2,R,L-F,15,0.553,1
JK_350_F_C_2_R_L-Ti_15,JK,350,F,C,2,R,L-Ti,15,0.422,1
JK_350_F_C_2_R_L-Ta_15,JK,350,F,C,2,R,L-Ta,15,0.19,1
JK_350_F_C_2_R_L-F_16,JK,350,F,C,2,R,L-F,16,0.518,1
JK_350_F_C_2_R_L-Ti_16,JK,350,F,C,2,R,L-Ti,16,0.406,1
JK_350_F_C_2_R_L-Ta_16,JK,350,F,C,2,R,L-Ta,16,0.169,1
JK_350_F_C_2_R_L-F_17,JK,350,F,C,2,R,L-F,17,0.527,1
JK_350_F_C_2_R_L-Ti_17,JK,350,F,C,2,R,L-Ti,17,0.42,1
JK_350_F_C_2_R_L-Ta_17,JK,350,F,C,2,R,L-Ta,17,0.172,1
JK_350_F_C_2_R_L-F_18,JK,350,F,C,2,R,L-F,18,0.563,1
JK_350_F_C_2_R_L-Ti_18,JK,350,F,C,2,R,L-Ti,18,0.443,1
JK_350_F_C_2_R_L-Ta_18,JK,350,F,C,2,R,L-Ta,18,0.195,1
JK_350_F_C_2_R_L-F_19,JK,350,F,C,2,R,L-F,19,0.506,1
JK_350_F_C_2_R_L-Ti_19,JK,350,F,C,2,R,L-Ti,19,0.42,1
JK_350_F_C_2_R_L-Ta_19,JK,350,F,C,2,R,L-Ta,19,0.174,1
JK_350_F_C_2_R_L-F_20,JK,350,F,C,2,R,L-F,20,0.568,1
JK_350_F_C_2_R_L-Ti_20,JK,350,F,C,2,R,L-Ti,20,0.472,1
JK_350_F_C_2_R_L-Ta_20,JK,350,F,C,2,R,L-Ta,20,0.195,1
JK_350_F_C_2_R_L-F_21,JK,350,F,C,2,R,L-F,21,0.519,1
JK_350_F_C_2_R_L-Ti_21,JK,350,F,C,2,R,L-Ti,21,0.442,1
JK_350_F_C_2_R_L-Ta_21,JK,350,F,C,2,R,L-Ta,21,0.191,1
JK_350_F_C_2_R_L-F_22,JK,350,F,C,2,R,L-F,22,0.573,1
JK_350_F_C_2_R_L-Ti_22,JK,350,F,C,2,R,L-Ti,22,0.445,1
JK_350_F_C_2_R_L-Ta_22,JK,350,F,C,2,R,L-Ta,22,0.182,1
JK_350_F_C_2_R_L-F_23,JK,350,F,C,2,R,L-F,23,0.525,1
JK_350_F_C_2_R_L-Ti_23,JK,350,F,C,2,R,L-Ti,23,0.462,1
JK_350_F_C_2_R_L-Ta_23,JK,350,F,C,2,R,L-Ta,23,0.188,1
JK_350_F_C_2_R_L-F_24,JK,350,F,C,2,R,L-F,24,0.47,1
JK_350_F_C_2_R_L-Ti_24,JK,350,F,C,2,R,L-Ti,24,0.374,1
JK_350_F_C_2_R_L-Ta_24,JK,350,F,C,2,R,L-Ta,24,0.18,1
JK_350_F_C_2_R_L-F_25,JK,350,F,C,2,R,L-F,25,0.546,1
JK_350_F_C_2_R_L-Ti_25,JK,350,F,C,2,R,L-Ti,25,0.413,1
JK_350_F_C_2_R_L-Ta_25,JK,350,F,C,2,R,L-Ta,25,0.163,1
JK_350_F_C_2_R_T_1,JK,350,F,C,2,R,T,1,0.853,1
JK_350_F_C_2_R_T_2,JK,350,F,C,2,R,T,2,0.868,1
JK_350_F_C_2_R_T_3,JK,350,F,C,2,R,T,3,0.854,1
JK_350_F_C_2_R_T_4,JK,350,F,C,2,R,T,4,1.001,1
JK_350_F_C_2_R_T_5,JK,350,F,C,2,R,T,5,0.925,1
JK_350_F_C_2_R_T_6,JK,350,F,C,2,R,T,6,0.869,1
JK_350_F_C_2_R_T_7,JK,350,F,C,2,R,T,7,0.838,1
JK_350_F_C_2_R_T_8,JK,350,F,C,2,R,T,8,0.99,1
JK_350_F_C_2_R_T_9,JK,350,F,C,2,R,T,9,0.895,1
JK_350_F_C_2_R_T_10,JK,350,F,C,2,R,T,10,0.96,1
JK_350_F_C_2_R_T_11,JK,350,F,C,2,R,T,11,0.934,1
JK_350_F_C_2_R_T_12,JK,350,F,C,2,R,T,12,0.949,1
JK_350_F_C_2_R_T_13,JK,350,F,C,2,R,T,13,0.935,1
JK_350_F_C_2_R_T_14,JK,350,F,C,2,R,T,14,0.856,1
JK_350_F_C_2_R_T_15,JK,350,F,C,2,R,T,15,0.907,1
JK_350_F_C_2_R_T_16,JK,350,F,C,2,R,T,16,0.858,1
JK_350_F_C_2_R_T_17,JK,350,F,C,2,R,T,17,0.882,1
JK_350_F_C_2_R_T_18,JK,350,F,C,2,R,T,18,0.954,1
JK_350_F_C_2_R_T_19,JK,350,F,C,2,R,T,19,0.903,1
JK_350_F_C_2_R_T_20,JK,350,F,C,2,R,T,20,0.992,1
JK_350_F_C_2_R_T_21,JK,350,F,C,2,R,T,21,0.922,1
JK_350_F_C_2_R_T_22,JK,350,F,C,2,R,T,22,0.96,1
JK_350_F_C_2_R_T_23,JK,350,F,C,2,R,T,23,0.98,1
JK_350_F_C_2_R_T_24,JK,350,F,C,2,R,T,24,0.936,1
JK_350_F_C_2_R_T_25,JK,350,F,C,2,R,T,25,0.907,1
JK_350_F_C_1_S_L-F_1,JK,350,F,C,1,S,L-F,1,0.567,1
JK_350_F_C_1_S_L-Ti_1,JK,350,F,C,1,S,L-Ti,1,0.455,1
JK_350_F_C_1_S_L-Ta_1,JK,350,F,C,1,S,L-Ta,1,0.189,1
JK_350_F_C_1_S_L-F_2,JK,350,F,C,1,S,L-F,2,0.544,1
JK_350_F_C_1_S_L-Ti_2,JK,350,F,C,1,S,L-Ti,2,0.414,1
JK_350_F_C_1_S_L-Ta_2,JK,350,F,C,1,S,L-Ta,2,0.178,1
JK_350_F_C_1_S_L-F_3,JK,350,F,C,1,S,L-F,3,0.508,1
JK_350_F_C_1_S_L-Ti_3,JK,350,F,C,1,S,L-Ti,3,0.43,1
JK_350_F_C_1_S_L-Ta_3,JK,350,F,C,1,S,L-Ta,3,0.18,1
JK_350_F_C_1_S_L-F_4,JK,350,F,C,1,S,L-F,4,0.461,1
JK_350_F_C_1_S_L-Ti_4,JK,350,F,C,1,S,L-Ti,4,0.413,1
JK_350_F_C_1_S_L-Ta_4,JK,350,F,C,1,S,L-Ta,4,0.175,1
JK_350_F_C_1_S_L-F_5,JK,350,F,C,1,S,L-F,5,0.581,1
JK_350_F_C_1_S_L-Ti_5,JK,350,F,C,1,S,L-Ti,5,0.468,1
JK_350_F_C_1_S_L-Ta_5,JK,350,F,C,1,S,L-Ta,5,0.192,1
JK_350_F_C_1_S_L-F_6,JK,350,F,C,1,S,L-F,6,0.46,1
JK_350_F_C_1_S_L-Ti_6,JK,350,F,C,1,S,L-Ti,6,0.366,1
JK_350_F_C_1_S_L-Ta_6,JK,350,F,C,1,S,L-Ta,6,0.158,1
JK_350_F_C_1_S_L-F_7,JK,350,F,C,1,S,L-F,7,0.543,1
JK_350_F_C_1_S_L-Ti_7,JK,350,F,C,1,S,L-Ti,7,0.387,1
JK_350_F_C_1_S_L-Ta_7,JK,350,F,C,1,S,L-Ta,7,0.17,1
JK_350_F_C_1_S_L-F_8,JK,350,F,C,1,S,L-F,8,0.581,1
JK_350_F_C_1_S_L-Ti_8,JK,350,F,C,1,S,L-Ti,8,0.458,1
JK_350_F_C_1_S_L-Ta_8,JK,350,F,C,1,S,L-Ta,8,0.212,1
JK_350_F_C_1_S_L-F_9,JK,350,F,C,1,S,L-F,9,0.498,1
JK_350_F_C_1_S_L-Ti_9,JK,350,F,C,1,S,L-Ti,9,0.381,1
JK_350_F_C_1_S_L-Ta_9,JK,350,F,C,1,S,L-Ta,9,0.175,1
JK_350_F_C_1_S_L-F_10,JK,350,F,C,1,S,L-F,10,0.442,1
JK_350_F_C_1_S_L-Ti_10,JK,350,F,C,1,S,L-Ti,10,0.398,1
JK_350_F_C_1_S_L-Ta_10,JK,350,F,C,1,S,L-Ta,10,0.168,1
JK_350_F_C_1_S_L-F_11,JK,350,F,C,1,S,L-F,11,0.513,1
JK_350_F_C_1_S_L-Ti_11,JK,350,F,C,1,S,L-Ti,11,0.4,1
JK_350_F_C_1_S_L-Ta_11,JK,350,F,C,1,S,L-Ta,11,0.157,1
JK_350_F_C_1_S_L-F_12,JK,350,F,C,1,S,L-F,12,0.495,1
JK_350_F_C_1_S_L-Ti_12,JK,350,F,C,1,S,L-Ti,12,0.429,1
JK_350_F_C_1_S_L-Ta_12,JK,350,F,C,1,S,L-Ta,12,0.176,1
JK_350_F_C_1_S_L-F_13,JK,350,F,C,1,S,L-F,13,0.498,1
JK_350_F_C_1_S_L-Ti_13,JK,350,F,C,1,S,L-Ti,13,0.41,1
JK_350_F_C_1_S_L-Ta_13,JK,350,F,C,1,S,L-Ta,13,0.198,1
JK_350_F_C_1_S_L-F_14,JK,350,F,C,1,S,L-F,14,0.424,1
JK_350_F_C_1_S_L-Ti_14,JK,350,F,C,1,S,L-Ti,14,0.398,1
JK_350_F_C_1_S_L-Ta_14,JK,350,F,C,1,S,L-Ta,14,0.172,1
JK_350_F_C_1_S_L-F_15,JK,350,F,C,1,S,L-F,15,0.531,1
JK_350_F_C_1_S_L-Ti_15,JK,350,F,C,1,S,L-Ti,15,0.444,1
JK_350_F_C_1_S_L-Ta_15,JK,350,F,C,1,S,L-Ta,15,0.175,1
JK_350_F_C_1_S_L-F_16,JK,350,F,C,1,S,L-F,16,0.476,1
JK_350_F_C_1_S_L-Ti_16,JK,350,F,C,1,S,L-Ti,16,0.417,1
JK_350_F_C_1_S_L-Ta_16,JK,350,F,C,1,S,L-Ta,16,0.156,1
JK_350_F_C_1_S_L-F_17,JK,350,F,C,1,S,L-F,17,0.566,1
JK_350_F_C_1_S_L-Ti_17,JK,350,F,C,1,S,L-Ti,17,0.48,1
JK_350_F_C_1_S_L-Ta_17,JK,350,F,C,1,S,L-Ta,17,0.21,1
JK_350_F_C_1_S_L-F_18,JK,350,F,C,1,S,L-F,18,0.521,1
JK_350_F_C_1_S_L-Ti_18,JK,350,F,C,1,S,L-Ti,18,0.424,1
JK_350_F_C_1_S_L-Ta_18,JK,350,F,C,1,S,L-Ta,18,0.175,1
JK_350_F_C_1_S_L-F_19,JK,350,F,C,1,S,L-F,19,0.603,1
JK_350_F_C_1_S_L-Ti_19,JK,350,F,C,1,S,L-Ti,19,0.49,1
JK_350_F_C_1_S_L-Ta_19,JK,350,F,C,1,S,L-Ta,19,0.231,1
JK_350_F_C_1_S_L-F_20,JK,350,F,C,1,S,L-F,20,0.569,1
JK_350_F_C_1_S_L-Ti_20,JK,350,F,C,1,S,L-Ti,20,0.457,1
JK_350_F_C_1_S_L-Ta_20,JK,350,F,C,1,S,L-Ta,20,0.213,1
JK_350_F_C_1_S_T_1,JK,350,F,C,1,S,T,1,0.97,1
JK_350_F_C_1_S_T_2,JK,350,F,C,1,S,T,2,0.872,1
JK_350_F_C_1_S_T_3,JK,350,F,C,1,S,T,3,0.842,1
JK_350_F_C_1_S_T_4,JK,350,F,C,1,S,T,4,0.94,1
JK_350_F_C_1_S_T_5,JK,350,F,C,1,S,T,5,0.989,1
JK_350_F_C_1_S_T_6,JK,350,F,C,1,S,T,6,0.821,1
JK_350_F_C_1_S_T_7,JK,350,F,C,1,S,T,7,0.874,1
JK_350_F_C_1_S_T_8,JK,350,F,C,1,S,T,8,1.038,1
JK_350_F_C_1_S_T_9,JK,350,F,C,1,S,T,9,0.851,1
JK_350_F_C_1_S_T_10,JK,350,F,C,1,S,T,10,0.835,1
JK_350_F_C_1_S_T_11,JK,350,F,C,1,S,T,11,0.894,1
JK_350_F_C_1_S_T_12,JK,350,F,C,1,S,T,12,0.883,1
JK_350_F_C_1_S_T_13,JK,350,F,C,1,S,T,13,0.894,1
JK_350_F_C_1_S_T_14,JK,350,F,C,1,S,T,14,0.824,1
JK_350_F_C_1_S_T_15,JK,350,F,C,1,S,T,15,0.928,1
JK_350_F_C_1_S_T_16,JK,350,F,C,1,S,T,16,0.854,1
